CODE_PRODUIT,ID,
CAEE00001,7555,gpairo
MEJJ00002,7746,gpairo
MEJJ00002,7747,gpairo
MEDR00003,7025,gpairo
ENEG00004,69643,gpairo
ENEG00004,69642,gpairo
OUOO00005,38202,gpairo
MEFH00006,63519,gpairo
CAEE00001,7556,gpairo
MEFF00007,69645,gpairo
MEFF00008,38179,gpairo
CAE100009,7553,gpairo
CAEE00001,7557,gpairo
MEPM00010,6572,gpairo
MEFF00011,6571,gpairo
MEJJ00012,7597,gpairo
MEPR00013,60321,gpairo
MEPR00013,60320,gpairo
ME1C00014,27868,webpdrmif
CAE100009,7554,gpairo
MEPR00015,61744,gpairo
ENEA00016,92096,gpairo
OUOC00017,55178,gpairo
CAPE00018,55183,gpairo
CAPE00018,68274,gpairo
MEPM00019,55187,gpairo
MEPM00019,68284,gpairo
ENE100020,37498,gpairo
ENE100020,39356,gpairo
MEDA00021,63202,gpairo
CLCC00022,15931,gpairo
MEAE00023,55709,gpairo
CAPS00024,95441,gpairo
MEPM00025,66546,gpairo
MEPM00026,7244,gpairo
MEAE00027,13209,gpairo
MEAE00027,21726,gpairo
MEPS00028,76263,gpairo
MEEA00029,51516,gpairo
MEPR00030,72856,gpairo
ME2S00031,80642,gpairo
ME2S00032,91053,gpairo
ME2S00032,49461,gpairo
ME2S00032,64353,gpairo
MEPT00033,84496,gpairo
CAPA00034,47114,gpairo
ME2S00032,45845,gpairo
ME2S00032,45924,gpairo
CAPC00035,53121,gpairo
ME2S00032,63053,gpairo
ME2S00032,95402,gpairo
CAPA00036,2757,gpairo
ME3A00037,956,gpairo
ME3A00037,1177,gpairo
ME3A00037,2291,gpairo
ME3A00037,2758,gpairo
ME3A00037,6938,gpairo
ME3A00037,8286,gpairo
ME3A00037,8900,gpairo
ME3A00037,9477,gpairo
ME3A00037,9479,gpairo
ME3A00037,10760,gpairo
ME3A00037,22358,gpairo
ME3A00037,22359,gpairo
ME3A00037,22397,gpairo
ME3A00037,66079,gpairo
ME3A00037,85304,gpairo
ME3A00037,93426,gpairo
ME3A00037,94405,gpairo
MEJ100038,60385,gpairo
MEDT00039,221,gpairo
ME3A00040,3810,gpairo
MEPR00041,37699,gpairo
MEPC00042,69509,gpairo
MEPS00028,69476,gpairo
MEPS00028,81979,gpairo
MEP100043,38286,gpairo
MEE100044,93898,gpairo
MEPM00045,34005,gpairo
MEPM00045,35114,gpairo
ME3A00037,63267,gpairo
MEPP00046,78038,gpairo
MEPI00047,10175,gpairo
ME3A00037,4827,gpairo
ME3A00037,21109,gpairo
CLC100048,71436,gpairo
MEE100049,45632,gpairo
ME3A00037,4374,gpairo
ME3A00037,20828,gpairo
MED100050,7058,gpairo
OUOO00051,11121,gpairo
OUOO00051,77026,gpairo
OUOO00052,35762,gpairo
ME4H00053,67663,gpairo
ME4H00054,31069,gpairo
MEPA00055,16323,gpairo
MEPA00056,56468,gpairo
MEDT00057,7757,gpairo
MEDT00057,20211,gpairo
MEDT00057,7617,gpairo
MEDT00057,21335,gpairo
MEDT00057,22768,gpairo
MEPA00058,33829,gpairo
ENE200059,45018,gpairo
ENE200060,80806,gpairo
ENE200060,61726,gpairo
ENE200060,61697,gpairo
ENE200060,42497,gpairo
ENE200060,47841,gpairo
ENE200060,41058,gpairo
ENE200060,47111,gpairo
ENE200060,93833,gpairo
ENE200060,71390,gpairo
ENE200060,39263,gpairo
ENE200060,62291,gpairo
ENE200060,38686,gpairo
ENE200060,38343,gpairo
ENE200060,38303,gpairo
ENE200060,39866,gpairo
ENE200060,43777,gpairo
ENE200061,38839,gpairo
ENE200061,71059,gpairo
CACP00062,97069,gpairo
CACP00062,45062,gpairo
CACP00062,64357,gpairo
CACP00062,37703,gpairo
CACP00062,37942,gpairo
CACP00062,71497,gpairo
ME2S00063,95632,gpairo
ME2S00063,95645,gpairo
ME3A00037,95509,gpairo
CAPE00064,91058,gpairo
MEPM00065,14041,gpairo
MEPM00065,31134,gpairo
MEPM00066,69519,gpairo
MEPM00066,69518,gpairo
MEPM00067,96206,gpairo
MEAE00068,85501,gpairo
MEAE00068,73984,gpairo
MEAE00068,75128,gpairo
MEAE00068,73982,gpairo
MEAE00068,75126,gpairo
MEEE00069,72694,gpairo
MEEE00070,80281,gpairo
OUOO00071,43740,gpairo
OUOO00071,58378,gpairo
OUOO00071,58379,gpairo
OUOO00071,7798,gpairo
OUOO00071,7803,gpairo
OUOO00071,7837,gpairo
OUOO00071,8244,gpairo
OUOO00071,8248,gpairo
OUOO00071,8258,gpairo
OUOO00071,8549,gpairo
OUOO00071,14455,gpairo
OUOO00071,23128,gpairo
OUOO00071,43248,gpairo
OUOO00071,64017,gpairo
OUOO00071,80385,gpairo
OUOO00071,127,gpairo
CAPE00072,86845,gpairo
OUOO00073,94032,gpairo
OUOO00073,94030,gpairo
MEPA00074,74239,gpairo
OUOO00071,51061,gpairo
OUOO00071,9972,gpairo
CLC100075,80864,gpairo
OUOO00071,96115,gpairo
OUOO00071,1282,gpairo
OUOO00071,7805,gpairo
OUOO00071,8242,gpairo
OUOO00071,8247,gpairo
OUOO00071,8249,gpairo
OUOO00071,8259,gpairo
OUOO00071,9950,gpairo
OUOO00071,23043,gpairo
OUOO00071,34370,gpairo
OUOO00071,34373,gpairo
OUOO00071,40642,gpairo
OUOO00071,40770,gpairo
OUOO00071,41277,gpairo
OUOO00071,41279,gpairo
OUOO00071,42325,gpairo
OUOO00071,44303,gpairo
OUOO00071,49730,gpairo
OUOO00071,51040,gpairo
OUOO00071,52237,gpairo
OUOO00071,56487,gpairo
OUOO00071,56706,gpairo
OUOO00071,57302,gpairo
OUOO00071,57303,gpairo
OUOO00071,57534,gpairo
OUOO00071,57577,gpairo
OUOO00071,57822,gpairo
OUOO00071,57861,gpairo
OUOO00071,58065,gpairo
OUOO00071,58318,gpairo
OUOO00071,58508,gpairo
OUOO00071,60202,gpairo
OUOO00071,60249,gpairo
OUOO00071,60252,gpairo
OUOO00071,61801,gpairo
OUOO00071,64016,gpairo
OUOO00071,64201,gpairo
OUOO00071,71352,gpairo
OUOO00071,71467,gpairo
OUOO00071,77498,gpairo
OUOO00071,77499,gpairo
OUOO00076,9052,gpairo
MEA200077,35671,gpairo
MEA200077,35965,gpairo
MEA200077,36167,gpairo
ME2A00078,44221,gpairo
ME2A00078,44718,gpairo
MEPA00079,56187,gpairo
MEPA00080,87008,gpairo
MEPA00080,89824,gpairo
MEPA00080,96681,gpairo
CAPE00081,73038,gpairo
OUO100082,1470,gpairo
OUO100082,1473,gpairo
OUOO00083,2564,gpairo
OUOO00083,20558,gpairo
CLC100084,71472,gpairo
CAPE00085,60384,gpairo
OUOO00086,51094,gpairo
OUOO00086,57327,gpairo
OUOO00086,57441,gpairo
OUOO00087,60436,gpairo
OUOO00088,4627,gpairo
OUOO00088,4141,gpairo
OUOO00088,20732,gpairo
MED100089,6458,gpairo
MED100089,9503,gpairo
OUOO00086,402,gpairo
OUOO00086,7947,gpairo
OUOO00086,21817,gpairo
OUOO00086,38656,gpairo
OUOO00086,38640,gpairo
MEPM00090,15802,gpairo
OUOO00086,94170,gpairo
OUOO00086,92108,gpairo
CACP00091,52660,gpairo
OUO100092,8967,gpairo
MEPC00093,1416,gpairo
MEP100094,10947,gpairo
OUO100092,38156,gpairo
MEPL00095,47131,gpairo
MEPM00096,37481,gpairo
MEPC00097,58684,gpairo
OUO100092,49116,gpairo
CACP00091,94083,gpairo
CACP00091,80391,gpairo
CACP00098,66158,gpairo
CACP00099,2769,gpairo
CACP00099,2770,gpairo
CACP00099,14301,gpairo
CACP00099,62284,gpairo
CACP00099,74199,gpairo
CACP00099,75275,gpairo
CACP00099,93616,gpairo
CAC100100,15615,gpairo
CAC100100,15873,gpairo
CACP00091,31173,gpairo
CACP00091,14446,gpairo
CACP00091,15651,gpairo
CACP00091,78053,gpairo
CACP00091,15867,gpairo
CACP00091,14445,gpairo
CACP00091,15652,gpairo
CACP00091,11657,gpairo
CACP00091,15886,gpairo
CACP00091,15889,gpairo
CACP00091,15888,gpairo
CACP00091,15868,gpairo
CACP00091,15869,gpairo
CACP00091,15866,gpairo
CACP00091,3422,gpairo
CACP00091,55703,gpairo
CACP00091,85175,gpairo
CACP00091,14258,gpairo
CACP00091,14289,gpairo
CACP00091,68883,gpairo
CACP00091,91886,gpairo
CACP00091,52672,gpairo
CACP00091,14290,gpairo
CACP00091,15865,gpairo
CACP00091,68882,gpairo
CACP00091,15887,gpairo
CACP00101,91189,gpairo
CACP00099,14169,gpairo
CACP00099,15649,gpairo
CACP00099,3301,gpairo
CACP00099,3432,gpairo
CACP00099,39316,gpairo
CACP00099,46974,gpairo
CACP00099,53200,gpairo
CACP00099,2829,gpairo
CACP00099,2797,gpairo
CACP00099,20589,gpairo
CACP00099,12901,gpairo
CACP00098,3345,gpairo
CACP00098,14277,gpairo
CACP00098,21608,gpairo
CACP00098,39159,gpairo
CACP00098,39315,gpairo
CACP00098,52323,gpairo
CACP00098,61122,gpairo
CACP00098,2830,gpairo
CACP00098,2798,gpairo
CACP00098,20590,gpairo
CACP00098,14168,gpairo
CACP00098,15650,gpairo
CACP00098,39018,gpairo
CACP00098,3302,gpairo
CACP00102,34687,gpairo
CACP00102,34688,gpairo
CACP00103,15614,gpairo
CACP00104,2799,gpairo
CACP00104,3339,gpairo
CACP00104,3340,gpairo
CACP00104,2831,gpairo
CAPE00105,97030,gpairo
MEPA00106,87178,gpairo
MEPA00106,89494,gpairo
CAPA00107,63211,gpairo
CAPA00107,63213,gpairo
MEDR00108,57283,gpairo
MEDM00109,6225,gpairo
CAPK00110,76941,gpairo
CAPK00111,85520,gpairo
MEPA00112,94304,gpairo
MEPA00113,63055,gpairo
MEPA00114,34591,gpairo
MEPB00115,94848,gpairo
MEPM00116,47223,gpairo
CAPE00117,15490,gpairo
MEPB00118,14937,gpairo
ELDA00119,56020,gpairo
ELDA00119,14934,gpairo
ELDA00119,3809,gpairo
ELDA00119,5920,gpairo
ELDA00119,6153,gpairo
ELDA00119,6737,gpairo
ELDA00119,9193,gpairo
ELDA00119,9305,gpairo
ELDA00119,11580,gpairo
ELDA00119,11581,gpairo
ELDA00119,11748,gpairo
ELDA00119,11995,gpairo
ELDA00119,13026,gpairo
ELDA00119,14524,gpairo
